A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-72.0317680582821,-71.5317680582821,-71.9317680582821,0.011647125186864287,0.011590210665948689,0.008668751231394708,-215.4953041748463,1.0,1.0,1.0,-74.26881408691406,-76.18910598754883,-76.56489181518555,0.48336461186408997,0.4299238324165344,0.38027331233024597,-1.277955174446106,-1.2952768802642822,-1.319315791130066,-37.8173942565918,-38.232242584228516,-38.11314392089844,160,4025
-65.52229235596579,-65.52229235596579,-65.72229235596578,0.010878903496777639,0.011085932877846063,0.007399283515289426,-196.76687706789735,1.0,1.0,1.0,-76.81834411621094,-76.50217056274414,-77.73758697509766,0.37060391902923584,0.37893328070640564,0.42371585965156555,-1.2770311832427979,-1.2851097583770752,-1.3246290683746338,-39.23381423950195,-38.348365783691406,-38.46186065673828,165,4150
-65.31735261688506,-66.11735261688506,-66.11735261688506,0.006705949053866789,0.007438859423156828,0.008258109170885292,-197.5520578506552,1.0,1.0,1.0,-78.1568374633789,-78.11044311523438,-78.19018936157227,0.5002972483634949,0.40078204870224,0.4985917806625366,-1.2573599815368652,-1.2945889234542847,-1.3058445453643799,-39.71260070800781,-38.90056610107422,-38.7659912109375,170,4275
-70.19768992502014,-70.49768992502014,-68.89768992502015,0.008578535804059357,0.010298781045945362,0.007544965991110075,-209.59306977506043,1.0,1.0,1.0,-79.33465957641602,-78.61722183227539,-79.04240036010742,0.39446571469306946,0.428125262260437,0.42735350131988525,-1.2824281454086304,-1.3054771423339844,-1.3317066431045532,-40.27778625488281,-39.27774429321289,-39.310935974121094,175,4400
-68.13388371961935,-68.33388371961935,-66.73388371961934,0.01077981206867844,0.012641852173954249,0.007871772970072926,-203.20165115885803,1.0,1.0,1.0,-79.12102127075195,-79.95703506469727,-80.76151657104492,0.4589226245880127,0.4534488022327423,0.40849006175994873,-1.2692954540252686,-1.2982968091964722,-1.3143651485443115,-40.19186019897461,-40.226478576660156,-40.113643646240234,180,4525
-67.7998281078789,-70.09982810787889,-69.7998281078789,0.009927766972454264,0.010848786116344855,0.0072451806753524575,-207.6994843236367,1.0,1.0,1.0,-80.46010971069336,-80.45853805541992,-80.78346252441406,0.5035163164138794,0.4048844575881958,0.44811689853668213,-1.2919625043869019,-1.3148869276046753,-1.3007862567901611,-40.835079193115234,-40.51954650878906,-40.151649475097656,185,4650
-74.0410237071462,-75.0410237071462,-74.64102370714619,0.006500616669713054,0.012054009172366932,0.007747150336275809,-223.72307112143858,1.0,1.0,1.0,-81.70349502563477,-82.95386123657227,-81.4502182006836,0.4258253276348114,0.518187940120697,0.39870673418045044,-1.2667609453201294,-1.3104643821716309,-1.2968368530273438,-41.45840835571289,-41.61552429199219,-40.44371795654297,190,4775
-60.664805877801214,-64.46480587780121,-64.66480587780121,0.015119003840722144,0.01086148047540337,0.007979320910060778,-189.79441763340364,1.0,1.0,1.0,-83.15396881103516,-82.27048110961914,-82.86670303344727,0.6690061688423157,0.4620230495929718,0.4284248352050781,-1.2772842645645142,-1.314526081085205,-1.3077950477600098,-41.885459899902344,-41.227867126464844,-41.28498077392578,195,4900
-61.32155521508592,-61.021555215085925,-61.12155521508593,0.007399008228443563,0.012126535351155326,0.012629616068676115,-183.46466564525775,1.0,1.0,1.0,-84.3443374633789,-83.98275756835938,-83.24646759033203,0.534075140953064,0.4735133647918701,0.46075236797332764,-1.2504853010177612,-1.284812569618225,-1.3069989681243896,-42.57362365722656,-42.390625,-41.42546463012695,200,5025
-67.55074686748523,-67.55074686748523,-67.55074686748523,0.007659341988153756,0.0075869030761532485,0.005636426279204898,-202.65224060245572,1.0,1.0,1.0,-83.18359375,-84.51731872558594,-83.74958419799805,0.5076395869255066,0.38959231972694397,0.630744993686676,-1.2800066471099854,-1.3216854333877563,-1.2836129665374756,-42.22922897338867,-42.3795280456543,-41.47108459472656,205,5150
