B1 Loss,B2 Loss,P1 Loss,P2 Loss,Play 1,Play 2,Return,total_numsteps
-1.808408498764038,-0.9008016586303711,0.02476573921740055,0.06240832433104515,-1.7844799,-3.3003635,-1.175852,1970
-1.4338650703430176,-0.8374701142311096,0.021800043061375618,0.07113467901945114,-2.1164968,-3.3813052,-0.97197896,1980
-1.2650498151779175,-0.9787523746490479,0.06836610287427902,0.058197714388370514,-1.9138278,-4.2084093,-0.9023177,1990
-2.0022573471069336,-0.7864386439323425,0.06416387110948563,0.07394866645336151,-2.0801795,-4.4222145,-0.7874834,2000
-1.5057545900344849,-0.9820584058761597,0.04782763496041298,0.05057715252041817,-1.8428181,-4.1030083,-0.9575459,2010
-1.5738050937652588,-0.8784533739089966,0.011297769844532013,0.04133236035704613,-1.8973124,-3.3137565,-1.1084522,2020
-2.0576605796813965,-1.071511149406433,0.04083269461989403,0.053399935364723206,-2.003395,-4.549669,-0.81621677,2030
-1.8282134532928467,-0.8866114616394043,0.04048013687133789,0.038043826818466187,-1.4858527,-4.082697,-1.1725047,2040
-1.3324016332626343,-0.9065845608711243,0.052820682525634766,0.06978107988834381,-2.1645057,-4.239646,-0.7660592,2050
-1.3931398391723633,-0.9267545938491821,0.05129028484225273,0.04497319459915161,-1.9781501,-4.5112004,-0.83293355,2060
-1.7055972814559937,-0.8863848447799683,0.04305727407336235,0.0800701230764389,-2.2769985,-4.145431,-0.7240023,2070
-1.9224807024002075,-0.8853377103805542,0.01074585597962141,0.044354528188705444,-1.550118,-3.6979418,-1.2086259,2080
-1.3918848037719727,-0.8596146106719971,0.006018481217324734,0.043048519641160965,-1.966546,-3.8557065,-0.93433344,2090
-1.744102120399475,-0.8717361688613892,0.0009486977942287922,0.014736080542206764,-1.3649182,-3.0964196,-1.4966611,2100
-1.8352062702178955,-1.056509017944336,0.03807496279478073,0.06353766471147537,-2.4628491,-4.0847416,-0.64665174,2110
-1.6188757419586182,-0.9077588319778442,0.015061750076711178,0.06962822377681732,-2.387758,-3.2803419,-0.869425,2120
-1.590468406677246,-0.968788206577301,0.008017868734896183,0.04341947287321091,-1.7658982,-2.926577,-1.3118664,2130
-1.2889025211334229,-0.9451162815093994,0.03050273098051548,0.040118083357810974,-1.5907109,-4.2258162,-1.0864544,2140
-1.5679409503936768,-0.7742228507995605,0.010965609923005104,0.047549474984407425,-1.8397831,-3.7363443,-1.0296708,2150
-1.5467320680618286,-0.9040467739105225,0.019923178479075432,0.050847381353378296,-2.0436165,-4.05674,-0.855995,2160
-1.858029842376709,-0.908826470375061,0.002015873556956649,0.019332049414515495,-1.3915396,-2.4592972,-1.7312142,2170
-1.301952838897705,-0.9392635822296143,0.03375175595283508,0.03103051148355007,-1.6772337,-4.4427013,-1.0090096,2180
-1.2540172338485718,-0.8625850081443787,0.0055880555883049965,0.03199930861592293,-1.7742693,-3.1220584,-1.2384003,2190
-1.714979887008667,-0.8788768649101257,0.014159124344587326,0.05445560812950134,-2.2617345,-3.7340295,-0.8089582,2200
-1.9746153354644775,-0.9007018804550171,0.010234181769192219,0.053783923387527466,-2.0624557,-3.63936,-0.93160075,2210
-1.2110909223556519,-0.8844025731086731,0.013940058648586273,0.04635857790708542,-2.0109222,-3.599193,-0.96860856,2220
-1.6792012453079224,-1.058337688446045,0.03069128654897213,0.03047095239162445,-1.3235842,-4.582209,-1.2169408,2230
-1.7671986818313599,-0.8804957866668701,0.011966971680521965,0.03264961764216423,-1.2467567,-4.124728,-1.320261,2240
-1.616815447807312,-0.9723457098007202,0.022954493761062622,0.05287528038024902,-1.9627697,-4.2432604,-0.870882,2250
-1.7046269178390503,-1.003290057182312,0.013908236287534237,0.037058088928461075,-1.7374932,-3.7307217,-1.0893351,2260
-1.6976573467254639,-0.9887335896492004,8.859593435772695e-06,0.03550279885530472,-2.0032027,-2.7144475,-1.262626,2270
-1.9085654020309448,-0.8299837112426758,0.0003122627967968583,0.024124864488840103,-1.5722566,-3.1660447,-1.3433614,2280
