A1 Return,A2 Return,A3 Return,Total Return,total_episode,total_numsteps
-77.10316131929687,-77.30316131929688,-77.50316131929688,-231.90948395789064,1680,42025
-72.05455422638792,-72.25455422638792,-72.25455422638792,-216.56366267916377,1690,42275
-80.92214145435373,-81.22214145435373,-82.02214145435373,-244.1664243630612,1700,42525
-70.90411577550388,-71.10411577550389,-71.10411577550389,-213.11234732651164,1710,42775
-74.6467423454675,-74.4467423454675,-74.2467423454675,-223.3402270364025,1720,43025
-78.59566251130497,-78.39566251130496,-77.49566251130497,-234.4869875339149,1730,43275
-71.41592824491991,-71.8159282449199,-71.71592824491991,-214.94778473475972,1740,43525
-74.38143860307954,-74.38143860307954,-74.68143860307954,-223.44431580923862,1750,43775
-74.70523138480534,-75.30523138480535,-74.90523138480535,-224.91569415441603,1760,44025
-70.03504007043837,-69.83504007043837,-69.83504007043837,-209.7051202113151,1770,44275
-72.21578544033598,-73.81578544033599,-74.21578544033598,-220.2473563210079,1780,44525
-83.1142093792468,-82.9142093792468,-83.2142093792468,-249.24262813774038,1790,44775
-74.0180060964426,-74.1180060964426,-73.8180060964426,-221.95401828932782,1800,45025
-71.46567182364177,-71.56567182364176,-71.66567182364176,-214.69701547092527,1810,45275
-70.85622393954466,-70.95622393954466,-70.45622393954466,-212.268671818634,1820,45525
-70.7723826747886,-72.7723826747886,-72.9723826747886,-216.5171480243658,1830,45775
-74.28234334189567,-74.08234334189567,-74.18234334189567,-222.54703002568704,1840,46025
-67.3486591779114,-67.0486591779114,-67.2486591779114,-201.64597753373423,1850,46275
-71.56215620805344,-71.56215620805344,-71.76215620805344,-214.88646862416036,1860,46525
-67.72319270894852,-67.72319270894852,-68.22319270894852,-203.66957812684555,1870,46775
-65.9099006384399,-65.8099006384399,-65.9099006384399,-197.62970191531969,1880,47025
-72.078377447333,-71.47837744733299,-71.078377447333,-214.635132341999,1890,47275
-67.68637277603833,-69.28637277603832,-69.48637277603832,-206.45911832811498,1900,47525
-73.78044316987744,-73.58044316987744,-73.58044316987744,-220.94132950963234,1910,47775
-69.5728392067157,-70.2728392067157,-69.8728392067157,-209.71851762014708,1920,48025
-71.3573012951821,-70.75730129518209,-70.6573012951821,-212.77190388554627,1930,48275
-83.08721098784355,-82.88721098784355,-82.68721098784354,-248.66163296353065,1940,48525
-69.79595849673947,-69.99595849673948,-69.89595849673948,-209.68787549021846,1950,48775
-67.89644486575128,-66.69644486575127,-67.79644486575128,-202.38933459725382,1960,49025
-65.65656687818215,-64.95656687818214,-65.85656687818215,-196.46970063454646,1970,49275
-70.62458062420012,-69.82458062420012,-70.42458062420012,-210.8737418726004,1980,49525
-67.66252186305013,-67.26252186305013,-67.46252186305013,-202.38756558915037,1990,49775
-65.90882151008705,-65.80882151008704,-65.20882151008705,-196.92646453026114,2000,50025
-71.60266421084158,-71.40266421084158,-69.70266421084158,-212.70799263252474,2010,50275
-71.47308707525352,-69.47308707525352,-71.27308707525353,-212.21926122576056,2020,50525
-69.8846483446549,-69.6846483446549,-69.6846483446549,-209.25394503396473,2030,50775
-65.26035114432126,-65.16035114432125,-65.06035114432126,-195.4810534329638,2040,51025
-65.76112323365646,-65.86112323365646,-66.26112323365646,-197.88336970096938,2050,51275
-65.16568628407995,-65.96568628407996,-66.16568628407995,-197.29705885223984,2060,51525
-68.49698867185768,-68.29698867185769,-68.69698867185768,-205.49096601557304,2070,51775
-69.63494176906536,-69.83494176906538,-70.23494176906537,-209.70482530719613,2080,52025
-69.32743473320753,-69.12743473320752,-69.12743473320752,-207.58230419962257,2090,52275
-66.76517922775032,-65.96517922775033,-66.06517922775032,-198.79553768325096,2100,52525
-67.87861770785503,-68.27861770785503,-67.47861770785504,-203.63585312356508,2110,52775
-63.433823275155476,-62.73382327515547,-62.933823275155476,-189.10146982546644,2120,53025
-75.23024198305451,-74.73024198305451,-75.3302419830545,-225.29072594916352,2130,53275
-74.91456518547497,-74.11456518547497,-74.31456518547498,-223.34369555642493,2140,53525
-87.69855634220376,-86.69855634220376,-87.39855634220373,-261.7956690266113,2150,53775
-76.056177933672,-74.95617793367202,-76.056177933672,-227.06853380101603,2160,54025
-67.11100277027484,-67.31100277027483,-67.71100277027483,-202.1330083108245,2170,54275
-72.72655854800857,-72.52655854800858,-70.12655854800857,-215.3796756440257,2180,54525
-74.49427262239415,-74.49427262239415,-73.59427262239414,-222.58281786718243,2190,54775
-66.5696222734171,-66.7696222734171,-65.46962227341709,-198.8088668202513,2200,55025
-72.66316020370355,-72.06316020370356,-71.96316020370355,-216.6894806111107,2210,55275
-68.32879654783216,-68.72879654783216,-68.52879654783216,-205.5863896434965,2220,55525
-68.51299536233184,-67.51299536233184,-68.11299536233183,-204.13898608699552,2230,55775
-65.7839853380637,-65.7839853380637,-65.2839853380637,-196.8519560141911,2240,56025
-64.70696584801125,-64.60696584801124,-64.90696584801125,-194.22089754403373,2250,56275
-70.55435672547708,-70.65435672547707,-70.25435672547708,-211.46307017643122,2260,56525
-63.6922408786986,-60.6922408786986,-64.0922408786986,-188.4767226360958,2270,56775
-73.85427337295113,-74.45427337295112,-73.45427337295112,-221.76282011885337,2280,57025
-75.85090198817953,-74.55090198817953,-75.85090198817953,-226.25270596453862,2290,57275
-69.34928665416572,-68.94928665416572,-69.74928665416573,-208.04785996249717,2300,57525
-66.7122064073556,-66.01220640735559,-66.7122064073556,-199.43661922206678,2310,57775
-72.38647794981702,-72.38647794981702,-71.28647794981703,-216.05943384945107,2320,58025
-67.24644038465657,-67.04644038465656,-66.24644038465657,-200.5393211539697,2330,58275
-64.02725088012835,-62.72725088012835,-63.62725088012835,-190.38175264038506,2340,58525
-67.5393152135947,-67.5393152135947,-66.6393152135947,-201.7179456407841,2350,58775
-66.56988978597178,-66.76988978597178,-66.76988978597178,-200.10966935791535,2360,59025
-69.77075845658058,-71.17075845658059,-69.07075845658059,-210.01227536974176,2370,59275
-64.11893587606468,-63.41893587606468,-63.81893587606468,-191.35680762819402,2380,59525
-70.57562176783524,-70.97562176783524,-71.17562176783524,-212.72686530350575,2390,59775
-76.7063566052772,-76.2063566052772,-77.30635660527719,-230.21906981583157,2400,60025
-69.69836248638873,-68.19836248638873,-69.49836248638874,-207.39508745916618,2410,60275
-62.00387460462686,-61.90387460462686,-62.00387460462686,-185.91162381388057,2420,60525
-67.69953998460232,-67.79953998460232,-64.69953998460232,-200.19861995380697,2430,60775
-66.99643598776251,-68.0964359877625,-67.3964359877625,-202.4893079632875,2440,61025
-67.22653464316957,-68.52653464316957,-67.62653464316955,-203.37960392950868,2450,61275
-69.7776750540302,-69.2776750540302,-69.7776750540302,-208.8330251620906,2460,61525
-74.03861041549966,-73.03861041549965,-70.73861041549966,-217.81583124649896,2470,61775
-57.470472627308695,-57.3704726273087,-57.7704726273087,-172.6114178819261,2480,62025
-73.16093117091935,-72.26093117091935,-72.96093117091935,-218.38279351275804,2490,62275
-66.43961723354248,-66.43961723354248,-65.03961723354249,-197.91885170062744,2500,62525
-65.38675705905946,-65.08675705905947,-64.78675705905945,-195.26027117717837,2510,62775
-63.92412413136249,-63.82412413136249,-64.22412413136249,-191.97237239408747,2520,63025
-67.57684637264444,-67.87684637264445,-67.47684637264447,-202.93053911793336,2530,63275
-69.97587092268608,-68.97587092268607,-70.67587092268607,-209.6276127680582,2540,63525
-65.91736737641952,-64.31736737641953,-66.21736737641952,-196.45210212925855,2550,63775
-64.86376340150447,-63.963763401504465,-64.66376340150447,-193.4912902045134,2560,64025
-77.84990255559885,-77.94990255559885,-78.74990255559885,-234.54970766679654,2570,64275
-65.2068020831223,-64.5068020831223,-64.7068020831223,-194.4204062493669,2580,64525
-76.52574343879094,-74.72574343879094,-76.52574343879094,-227.7772303163728,2590,64775
-75.38509551443647,-75.38509551443647,-75.78509551443648,-226.55528654330942,2600,65025
-76.71285399612786,-77.01285399612786,-77.11285399612787,-230.83856198838356,2610,65275
-75.491696092541,-75.491696092541,-74.491696092541,-225.47508827762303,2620,65525
-74.66935176679904,-74.46935176679904,-74.46935176679904,-223.6080553003971,2630,65775
-80.70919457651665,-80.40919457651665,-80.50919457651665,-241.62758372954994,2640,66025
-84.84502853005151,-84.0450285300515,-84.7450285300515,-253.6350855901545,2650,66275
-77.12580587280105,-77.22580587280105,-77.32580587280106,-231.67741761840315,2660,66525
-79.56808870038721,-78.1680887003872,-79.06808870038721,-236.8042661011616,2670,66775
-78.64447814802627,-78.54447814802627,-78.64447814802627,-235.83343444407882,2680,67025
-75.36910570432539,-74.96910570432539,-75.46910570432539,-225.80731711297616,2690,67275
-76.13187164557621,-76.53187164557622,-77.03187164557622,-229.69561493672865,2700,67525
-70.23541702296306,-70.23541702296306,-70.13541702296307,-210.6062510688892,2710,67775
-72.8609209909452,-72.5609209909452,-72.1609209909452,-217.5827629728356,2720,68025
-72.7640275593836,-73.16402755938361,-72.66402755938361,-218.59208267815083,2730,68275
-68.72860043182638,-69.02860043182638,-68.72860043182638,-206.48580129547912,2740,68525
-70.39037509349296,-71.99037509349297,-71.99037509349297,-214.3711252804789,2750,68775
-73.56269973085259,-72.46269973085259,-73.3626997308526,-219.38809919255777,2760,69025
-71.29372348989082,-71.49372348989083,-69.29372348989082,-212.0811704696725,2770,69275
-67.42381952490277,-68.12381952490277,-68.22381952490278,-203.77145857470833,2780,69525
-70.71465231082196,-68.31465231082197,-70.41465231082196,-209.44395693246588,2790,69775
-74.16767256273997,-74.36767256273997,-73.86767256273997,-222.4030176882199,2800,70025
-73.17518782024625,-72.67518782024625,-72.47518782024625,-218.32556346073875,2810,70275
-72.3492191466553,-72.1492191466553,-71.74921914665529,-216.2476574399659,2820,70525
-69.0529423199538,-69.8529423199538,-69.45294231995379,-208.35882695986137,2830,70775
-76.20968916911156,-75.80968916911156,-76.20968916911156,-228.2290675073347,2840,71025
-68.86019171279302,-69.06019171279303,-69.06019171279303,-206.98057513837907,2850,71275
-74.90953310656043,-74.50953310656044,-74.70953310656043,-224.1285993196813,2860,71525
-70.14264676654719,-69.54264676654718,-70.2426467665472,-209.92794029964156,2870,71775
-67.42834907598292,-67.62834907598292,-67.12834907598292,-202.18504722794876,2880,72025
-69.82547232791242,-70.32547232791242,-70.62547232791243,-210.77641698373728,2890,72275
-77.68202532576393,-77.28202532576393,-77.08202532576392,-232.04607597729176,2900,72525
-69.10602137354995,-68.90602137354995,-69.10602137354995,-207.11806412064985,2910,72775
-73.55868071886437,-72.65868071886436,-72.95868071886437,-219.17604215659313,2920,73025
-70.23461163575412,-70.33461163575411,-67.63461163575411,-208.20383490726235,2930,73275
-65.640649019519,-66.340649019519,-66.240649019519,-198.221947058557,2940,73525
-76.17489742941345,-75.27489742941344,-75.47489742941346,-226.92469228824038,2950,73775
-66.33177763507425,-66.23177763507424,-66.83177763507425,-199.39533290522272,2960,74025
-62.05968838457634,-62.259688384576336,-61.759688384576336,-186.079065153729,2970,74275
-70.16585542749579,-69.86585542749579,-70.16585542749579,-210.19756628248734,2980,74525
-65.79815464030227,-65.19815464030226,-65.39815464030227,-196.39446392090682,2990,74775
-66.92121082196529,-66.92121082196529,-64.12121082196529,-197.96363246589587,3000,75025
