Play 1,Play 2,Return,total_numsteps
3.1240315,5.6344743,6.078185,336
3.0872765,5.611642,5.967383,337
3.125309,5.4617558,6.272315,338
3.1974072,5.248742,6.6887865,339
3.1780229,5.0799475,6.674008,340
3.2870417,4.8654237,7.0476627,341
3.235404,4.625825,6.746194,342
3.4026423,4.8233657,7.4172487,343
3.4953961,4.600997,7.576964,344
3.5375543,4.9409466,7.857765,345
3.7002647,4.7629933,8.254516,346
3.8410094,4.0843196,7.81827,347
4.0503078,3.9298952,7.95296,348
4.141771,3.7866547,7.791236,349
4.1758637,3.8693917,8.042524,350
4.248146,4.032111,8.497907,351
4.2610664,4.486461,9.190255,352
4.2139535,4.719138,9.303247,353
4.183105,5.165672,9.305235,354
4.0983577,5.2295394,9.134353,355
3.9333882,5.308721,8.767031,356
3.6270735,5.2128096,8.069785,357
3.4228363,5.1661925,7.484935,358
3.1829276,4.6900687,6.6021905,359
2.971482,4.1875277,5.2250032,360
2.8567886,4.2655654,4.8672504,361
2.935802,4.693855,5.645362,362
2.9332743,4.7213526,5.6510005,363
2.8563218,4.8241596,5.373724,364
3.0231109,5.458407,5.8817725,365
3.0055187,5.691736,5.5435452,366
3.1536434,5.3879046,6.4404974,367
3.2425952,5.508276,6.653184,368
3.2145867,5.20595,6.769884,369
3.0733383,4.8243747,6.2571306,370
2.9537225,4.9396343,5.8091044,371
2.8814278,4.6439114,5.3848524,372
2.9320788,4.6152644,5.5756803,373
2.8589816,4.735764,5.3462195,374
2.9999475,4.77537,5.9493318,375
3.3397865,5.076535,7.2378335,376
3.3048928,5.407725,6.960372,377
3.619989,5.6762686,7.6382303,378
3.8147259,6.1568766,7.2567616,379
3.5934713,6.0535965,6.9116116,380
3.5479555,5.797079,7.256232,381
3.5370026,5.531974,7.576642,382
3.6214688,5.0965977,8.090321,383
3.6144078,5.069525,8.0753,384
3.570331,4.939882,7.9524326,385
3.5845115,4.784433,7.949923,386
3.5174167,4.759355,7.7440367,387
3.3996444,4.9133563,7.4313545,388
3.398254,5.2212186,7.385472,389
3.5212817,5.6347823,7.4104433,390
3.5727077,5.88986,7.170985,391
3.6533306,6.1799264,6.7942553,392
3.874813,6.125082,7.468145,393
3.991346,5.679953,8.520281,394
4.1157045,5.374389,9.077854,395
4.3213067,5.351059,9.416133,396
4.4299173,5.1627407,9.648521,397
4.4483786,5.1279635,9.679339,398
4.4457655,4.782228,9.645399,399
4.4502516,4.499695,9.447472,400
4.3298073,4.358395,9.139185,401
4.400106,4.405528,9.28673,402
4.468474,4.4215336,9.382856,403
4.3702583,4.4752283,9.32804,404
4.2296753,4.4552274,9.109822,405
4.0855556,4.779561,9.115198,406
4.1190457,4.9992237,9.223919,407
4.0618763,5.2814045,9.040735,408
4.005131,5.252534,8.946462,409
4.1259236,5.3635874,9.103795,410
4.0010157,5.0715084,8.996917,411
3.9593685,4.9489527,8.91448,412
3.8927987,4.861437,8.754906,413
3.8739862,5.0264306,8.731395,414
3.8249042,5.025367,8.618506,415
3.828471,5.05913,8.624023,416
3.8392391,5.3147593,8.55356,417
3.8069048,5.264386,8.506624,418
3.9674172,4.999754,8.933773,419
4.0291066,4.686604,8.959149,420
4.238004,4.44295,9.109057,421
4.562688,3.9283035,8.660225,422
4.572683,4.124375,9.05068,423
4.5941935,4.353539,9.417409,424
4.537551,4.2983837,9.293876,425
4.564254,4.566786,9.622451,426
4.5004163,5.160084,9.72479,427
4.385595,5.1963754,9.583943,428
4.380726,5.263403,9.547118,429
4.3767653,5.33029,9.502487,430
4.442373,5.488558,9.450363,431
4.488577,5.4608545,9.526059,432
4.4515896,5.614897,9.321148,433
4.5748878,5.9064794,8.997575,434
4.543448,6.0534964,8.681705,435
4.5073924,5.826028,9.075016,436
4.654594,5.6894903,9.405298,437
4.7530074,5.420475,9.762196,438
4.7756786,4.894595,9.93857,439
4.7150297,4.3847313,9.540236,440
4.6380863,4.3736863,9.476749,441
4.7447557,4.589097,9.766009,442
4.6201334,4.895813,9.844847,443
4.592868,4.938412,9.83045,444
4.6255317,4.998597,9.859772,445
4.6819425,5.221528,9.849765,446
4.454893,5.414937,9.530685,447
4.420974,5.6968374,9.179146,448
4.435256,5.576176,9.349085,449
4.455618,5.6204376,9.318706,450
4.5756726,5.405476,9.655536,451
4.607607,5.5158334,9.579944,452
4.84748,5.292533,9.891162,453
4.995981,4.960747,9.998443,454
5.1357408,4.523029,9.754073,455
5.130014,4.545787,9.776787,456
4.9055777,4.451997,9.690777,457
4.8962154,4.5934696,9.823962,458
4.783825,4.787938,9.9082985,459
4.8241796,5.099141,9.959258,460
4.8464637,5.3323965,9.865939,461
4.824297,5.276604,9.892618,462
4.648188,5.4361463,9.686005,463
4.553255,5.67673,9.342455,464
4.362359,5.807194,8.941852,465
4.2323213,5.5629215,9.093789,466
4.175779,5.535166,9.034257,467
4.1205206,5.552169,8.921625,468
4.0741305,5.5894346,8.795333,469
4.3810716,5.4902525,9.37658,470
4.3433943,5.377169,9.426613,471
4.4756417,5.429538,9.540545,472
4.3647733,5.599814,9.236711,473
4.513781,5.6601324,9.327816,474
4.493908,6.005066,8.733713,475
4.5186095,6.0397825,8.687116,476
4.5086794,6.512292,7.471577,477
4.487054,6.535265,7.3798475,478
4.242373,6.576243,6.9414597,479
4.2563205,6.465793,7.2983913,480
4.3614907,6.388397,7.664659,481
4.473638,6.0900474,8.5347395,482
4.5939713,6.2997074,8.145902,483
4.5861406,6.2564945,8.249942,484
4.779685,6.2607093,8.362074,485
4.8394017,5.9805493,9.012732,486
4.880088,5.904662,9.167208,487
5.0772643,5.526842,9.716468,488
5.145998,5.3345037,9.866792,489
4.983322,4.976917,9.999189,490
4.758704,4.7062974,9.8555155,491
4.6119814,4.497294,9.596728,492
4.591618,4.478888,9.5616665,493
4.5769877,4.8981223,9.810681,494
4.656516,5.2322454,9.828081,495
4.886771,5.6403427,9.577141,496
4.9880915,5.769206,9.40818,497
4.7961555,5.7598853,9.3810215,498
4.850435,5.7690773,9.38615,499
4.917445,5.6956954,9.509192,500
5.134907,5.9740887,9.032951,501
5.119375,6.2877617,8.327419,502
5.0153856,6.0145407,8.97047,503
4.873566,5.7804494,9.374913,504
4.7999616,5.66374,9.519434,505
4.633475,5.747155,9.307419,506
4.349948,5.7798476,8.96927,507
4.4645486,5.878634,8.941294,508
